cell_type_names	hex_codes
Adipocytes	#30123BFF
aNSCs	#3A2E7CFF
Astrocytes	#4249B1FF
Astrocytes activated	#4662D7FF
B cells	#477AF2FF
Cardiomyocytes	#4392FEFF
Dendritic cells	#36AAF9FF
Endothelial cells	#25C0E7FF
Ependymal	#1AD5CEFF
Erythrocytes	#1AE4B6FF
Fibroblasts	#2DF09DFF
Fibroblasts activated	#4EF97DFF
Fibroblasts senescent	#72FE5EFF
Granulocytes	#95FE45FF
Hepatocytes	#AFFA37FF
Macrophages	#C7EF34FF
Macrophages activated	#DDE037FF
Microglia	#EFCE3AFF
Microglia activated	#FABA39FF
Monocytes	#FEA331FF
Neurons	#FC8725FF
Neurons activated	#F66B19FF
NK cells	#EB510EFF
NPCs	#DD3D08FF
Oligodendrocytes	#CB2A04FF
OPCs	#B41B01FF
qNSCs	#990E01FF
T cells	#7A0403FF
unassigned	#000000
