cell_type_names	hex_codes_old	hex_codes
Amacrine Cells	#FF9200	#DE6B69
aNSCs	#DD6C84 	#DD6C84 
Antigen-Presenting Cells (APCs)	NA	#BD7584
Astrocytes	#EB6046 	#EB6046 
Astrocyte	#EB6046 	#EB6046 
Bipolar Cells	#8451AA	#79C362
BM & Prog.	NA	#E69F00
B_cell	NA	#56B4E9
CD34+ Progenitor Cells	#6E1D1D	#6E1D1D
Chondrocytes	NA	#009E73
Cone Photoreceptors	#FF5A60	#418BA4
Cornea	NA	#F9B8B8
DC	NA	#F0E442
Degeneration	#003249	#003249
Dying	NA	#797474
Embryonic_stem_cells	NA	#0072B2
Endothelial_cells 	#79DAAC 	#822E5F
Endothelial cells	#79DAAC 	#822E5F
Endothelial Cells	#79DAAC 	#822E5F
Endothelial	#7695CC 	#822E5F
Ependymal Cells	#4199B5 	#7695CC 
Epithelial_cells	#4199B5 	#4199B5 
Epithelial cells	NA	#4199B5 
Epithelial Cells	NA	#4199B5 
Erythroblast 	#D1BE8B 	#D55E00
Erythrocytes	NA	#D0C14A
Fibroblasts	NA	#D1BE8B 
GMP	NA	#CC79A7
Gametocytes	NA	#000000
HSC_-G-CSF	NA	#999999
HSC_CD34+	NA	#F1A340
Hepatocytes	NA	#D8B365
Keratinocytes	NA	#5AB4AC
MEP	NA	#F4A300
MSC	NA	#8F8F8F
Macrophage	NA	#FF7F0E
Monocyte	NA	#2CA02C
Myelocyte	NA	#9467BD
NK_cell	#1A7E0B	#8C564B
Neuroepithelial_cell	#8F1919	#FFB6C1
Horizontal Cells	#3400A6	#BC372F
Immature Organoid	NA	#8F1919
Immune Cells	#C753D4 	#3400A6
Lens Cells	#86D46B	#B2E0E7
Microglia           	#86D46B	#877F38
Muller Glia	#7F7F7F	#EE934F
Muller.Glia	#261F1F	#EE934F
na_color	#BDC9AD 	#BCBCBC
Neurogenic Cells	#BB7E7D 	#D1AAB5
Neurons	#D29269 	#BDC9AD 
Neurons activated	NA	#BB7E7D 
NPCs	#9E0142 	#D29269 
nRPC	NA	#B4A7D6
Oligodendrocytes	#9D51DD 	#9E0142 
Osteoblasts	NA	#C71585
OPCs	NA	#9D51DD 
Platelets	NA	#0000FF
Pre-B_cell_CD34- 	NA	#FFD700
Pro-B_cell_CD34+	NA	#800000
Smooth_muscle_cells	NA	#9ACD32
T_cells	NA	#FFD701
Tissue_stem_cells	#BE5314	#B22222
iPS_cells	NA	#FF6347
Progenitor Cells	#ABA398 	#BE5314
pRPC	#D1A1A1	#987F87
qNSCs	#D1A1A1	#ABA398 
Retinal Ganglion Cells	#472727	#D1A1A1
Retinal.Ganglion	#472727	#D1A1A1
RGC	#ABD019	#D1A1A1
Retinal Progenitor	#9ACFE5	#A98E97
Rod Photoreceptors	NA	#DED498
Retinal Pigment Epithelium (RPE) Cells	NA	#C48F74
T1	NA	#FBE18B
T2	NA	#C6EA7A
T3	#16A9DA	#B4CEDE
T4	NA	#F290BF
Vascular Endothelial Cells	NA	#822E35
Blood	NA	#D51305
Photoreceptor	NA	#BADDDD
